1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301
1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301
3.8151,3.863,3.7779,3.7675,3.9145,3.8174,3.7465,3.7347,3.7794,3.7532,3.7351,3.7686,3.7916,3.724,3.7714,3.7438,3.8111,3.4553,3.4918,3.545,3.4954,3.5459,3.5038,3.3991,3.4744,3.5083,3.5201,3.5151,3.404,3.4786,3.4618,3.4704,3.4318,3.5775,3.4656,3.5338,3.4769,3.5146,3.5276,3.4808
3.3732,3.5038,3.5457,3.5164,3.5099,3.5266,3.5415,3.4975,3.494,3.5201,3.4097,3.4641,3.4513,3.6049,3.6207,3.5291,3.5063,3.149,3.2623,3.2124,3.251,3.3271,3.1884,3.1147,3.1888,3.2473,3.2908,3.3199,3.2399,3.1936,3.1954,3.1811,3.2143,3.2601,3.2643,3.2011,3.2596,3.2302,3.1508,3.2766
3.4384,3.5419,3.6861,3.6243,3.5715,3.6764,3.5871,3.6453,3.6764,3.6909,3.5883,3.6111,3.6982,3.5186,3.5615,3.5732,3.6331,3.2367,3.3392,3.255,3.3433,3.3874,3.3264,3.1044,3.3578,3.3769,3.3478,3.4007,3.2789,3.3991,3.3267,3.2139,3.3053,3.3737,3.3349,3.3621,3.3481,3.2512,3.3009,3.284
3.4943,3.5236,3.5774,3.6768,3.5926,3.6409,3.5588,3.4409,3.5104,3.5559,3.5578,3.6238,3.6087,3.7674,3.6141,3.6522,3.613,3.1819,3.2648,3.3169,3.313,3.3057,3.3989,3.4289,3.3107,3.338,3.2486,3.2772,3.3113,3.3368,3.3556,3.2656,3.3306,3.2624,3.3997,3.3478,3.2618,3.213,3.4166,3.1246
3.6381,3.6272,3.5869,3.5048,3.6532,3.566,3.5739,3.5832,3.5854,3.5132,3.4951,3.5286,3.4908,3.5668,3.573,3.528,3.6047,3.2427,3.3432,3.2423,3.2358,3.269,2.9907,3.1528,3.2501,3.2723,3.3976,3.3759,3.2158,3.2227,3.2443,3.0294,3.1523,3.3402,3.1657,3.2922,3.2128,3.2528,3.3318,3.2933
2.1239,2.4137,2.1702,2.2704,2.2557,2.2681,2.3351,2.2153,2.2402,2.3841,2.2733,2.2088,2.2875,2.2636,2.1629,2.2655,2.2024,1.8407,1.9542,2.0081,2.0451,2.0919,1.9696,1.8536,1.9691,1.8997,2.0057,1.8646,1.964,2.1004,1.9078,2.1026,2.0101,2.0244,1.9661,2.0184,2.0249,1.9488,1.9715,1.9195
3.24,3.4426,3.3183,3.3701,3.3852,3.3727,3.3348,3.308,3.2852,3.4166,3.28,3.2187,3.2669,3.324,3.1169,3.2721,3.3492,3.1046,3.18,3.0742,3.034,3.1545,2.9878,2.9798,3.0063,3.0297,3.1915,3.067,2.9357,3.0613,2.9623,3.0516,3.0428,3.0371,2.9763,3.0829,3.0062,3.1374,3.0516,3.1238
