1.301,2.9731,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301
1.301,2.1486,1.301,1.301,1.301,1.301,1.301,1.301,1.301,1.301
3.4739,3.8455,3.4537,3.5778,3.7675,3.6777,3.5449,3.4567,3.539,3.8473
3.1793,3.4472,3.1845,3.2187,3.4328,3.6497,3.2915,3.1594,3.1791,3.4353
3.2839,3.6525,3.2817,3.4491,3.5607,3.7196,3.388,3.3117,3.3658,3.584
3.3326,3.5859,3.331,3.3377,3.6288,3.5026,3.3324,3.2533,3.3778,3.5826
3.3331,3.5516,2.9795,3.3757,3.5122,3.4416,3.3852,3.2241,3.2513,3.6564
1.9141,2.3988,1.8249,1.9397,2.1798,2.4655,1.9875,2.0699,1.9578,2.1475
3.0539,3.3623,3.2896,3.0229,3.2591,3.3485,3.0455,3.0678,3.0713,3.382
2.103,2.462,2.1127,2.1391,2.4549,2.5154,2.2503,2.1541,2.1326,2.421
3.0766,3.3569,3.2453,3.0044,3.2676,3.3949,3.0588,3.0644,3.0405,3.3062
1.4018,1.7057,1.301,1.5045,1.5566,1.301,1.3959,1.339,1.301,1.5105
3.3552,3.5161,3.3503,3.2753,3.6241,3.4748,3.2792,3.2643,3.3337,3.559
1.7737,2.1777,1.8263,1.8692,2.1742,2.124,1.779,1.8232,1.9357,2.1808
2.3644,2.7759,2.3769,2.528,2.7694,2.7336,2.477,2.401,2.6284,2.6219
2.2712,2.6503,2.0369,2.3173,2.4764,2.6836,2.4669,2.3182,2.2352,2.491
2.8871,3.2654,2.8866,2.7912,3.1575,3.3042,2.8735,3.0143,3.1101,3.2397
2.3718,2.4173,2.246,2.2573,2.6458,2.6334,2.2181,2.2532,2.3318,2.4621
1.7804,2.2398,1.8045,1.9923,1.9597,2.2079,1.9582,1.7202,2.0591,2.0014
2.6188,3.0256,2.4879,2.5343,2.8487,3.0118,2.6841,2.6733,2.6717,2.8135
2.7985,2.9343,2.5318,2.7704,3.1024,3.1293,2.687,2.8196,2.8193,2.7833
2.5243,2.7745,2.1928,2.4473,2.697,2.8316,2.467,2.5811,2.5868,2.908
2.2475,2.6111,2.0518,1.9176,2.5247,2.6913,2.2813,2.3046,2.3081,2.2954
1.7668,2.0677,1.5273,1.4325,1.5256,2.1106,1.6893,1.6219,1.7334,1.6819
1.8087,2.1585,1.68,1.6461,2.1084,2.1828,1.8063,1.6887,1.7656,2.0644
2.0497,2.2775,1.9718,2.0098,2.2388,2.317,2.0018,1.9806,2.1711,2.283
3.0154,3.1796,2.7729,3.008,3.1866,3.4575,3.0063,2.98,2.9697,3.2185
1.9446,2.2764,1.7264,1.9375,2.1922,2.2539,1.8572,1.9136,1.8489,2.2751
1.8276,1.9758,1.4873,1.7036,2.0854,1.9252,1.6157,1.8248,1.9124,2.0428
2.2768,2.5967,2.0196,2.0449,2.3877,2.5301,2.1705,2.3282,2.3969,2.401
2.1599,2.209,2.0309,1.9158,2.2489,2.3319,1.9225,2.1225,2.1559,2.3332
2.0123,2.3877,1.9445,1.9471,2.2101,2.3425,1.8669,2.0191,2.0374,2.2262
2.0956,2.3906,1.9853,2.0122,2.2682,2.5192,2.1874,2.0966,2.1166,2.1729
2.2849,2.7413,2.299,2.3397,2.4865,2.6754,2.4047,2.3352,2.2707,2.4952
2.1113,2.3666,2.0044,2.1005,2.4358,2.4835,2.1676,2.1707,2.258,2.2967
3.1055,3.5361,3.3402,3.1649,3.4026,3.4291,3.1507,3.0882,3.1781,3.4563
2.1809,2.3483,2.0432,2.0688,2.6687,2.5513,2.0898,2.2146,2.4215,2.1949
2.2103,2.6386,2.1351,2.3515,2.5325,2.6117,2.3717,2.1767,2.4815,2.5682
2.0812,2.2677,1.6377,1.9745,2.1092,2.1935,1.8683,1.9867,1.8634,2.1514
2.4956,2.42,2.3122,2.3314,2.7176,2.6022,2.2446,2.3363,2.4906,2.537
3.2422,3.4132,2.8783,3.3206,3.4098,3.3102,3.2575,3.1854,3.1288,3.5522
1.6921,2.1354,1.519,1.7088,1.9501,1.9063,1.4511,1.7313,1.6415,1.8458
2.0201,2.139,1.8297,1.7913,2.1629,2.2348,1.9406,1.8825,1.9432,2.1793
1.9818,2.1087,2.0456,1.9316,2.4067,2.2452,2.0095,1.9627,2.1972,2.3497
2.1062,2.3983,2.0044,2.3053,2.3381,2.5469,2.1522,2.1683,2.1391,2.3872
2.6714,3.0442,2.5648,2.3272,2.6323,2.9014,2.5391,2.9647,2.6779,2.7426
2.0286,2.4307,1.7913,2.1352,2.4864,2.2923,2.123,2.012,2.1761,2.3033
2.2295,2.5361,2.0706,2.2506,2.5878,2.5934,2.2205,2.148,2.5454,2.2531
1.9685,2.1536,1.5614,1.7823,2.2273,2.1805,2.0379,1.8294,2.0544,2.0469
1.6561,1.6858,1.301,1.4115,1.859,1.9559,1.597,1.5046,1.301,1.6179
1.5077,1.969,1.301,1.6156,1.301,2.1011,1.4538,1.4693,1.301,1.301
2.233,2.7158,2.2657,2.2226,2.5172,2.5124,2.0642,2.2937,2.4046,2.3432
1.8543,2.1993,1.7613,1.8126,2.2344,2.0573,1.588,1.8542,2.1302,2.02
2.0123,2.4678,1.9975,2.4607,2.3944,2.472,2.2585,2.0903,2.2061,2.4053
1.9073,2.3727,1.7905,2.0096,2.1993,2.4212,2.1039,1.9287,2.134,2.3149
2.7181,2.7618,2.6918,2.5197,2.971,2.9261,2.5724,2.5623,2.6491,2.7073
2.2471,2.6545,2.3448,2.2272,2.6554,2.6788,2.2655,2.3205,2.4272,2.5914
2.3263,2.6987,2.3102,2.4432,2.6366,2.6537,2.4017,2.2998,2.2026,2.4731
1.9647,2.3687,1.9236,1.9766,2.209,2.1584,2.0093,1.9091,1.9677,2.1969
3.2603,3.5333,2.9678,3.4126,3.4947,3.3796,3.3516,3.259,3.2388,3.6364
1.757,1.9824,1.8102,1.5434,1.8576,2.096,1.5569,1.6751,1.7075,1.9303
1.7208,1.8744,1.5049,1.6584,2.017,2.1053,1.6959,1.7623,1.8112,1.8836
2.2817,2.6166,2.2639,2.3189,2.4981,2.7988,2.481,2.2933,2.4225,2.6335
